Port,X(um),Y(um)
opt_in,-62.0,-50.0
opt_through,86.0,-50.0
opt_drop,-62.0,71.65
opt_add,86.0,71.65
ele1,22.114798648566328,12.344589170602012
ele2,1.7750000000000004,10.849999999999994
